,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
1214,1214,,Mahi-mahi,Mahi-mahi,30,A Nori Story,11/3/2009,,http://en.wikipedia.org/wiki/Mahi-mahi,"The mahi-mahi or common dolphinfish (Coryphaena hippurus) is a surface-dwelling ray-finned fish found in off-shore temperate, tropical and subtropical waters worldwide. Also known widely as dorado, it is one of only two members of the Coryphaenidae family, the other being the pompano dolphinfish.
Being referred to as a ""dolphin"" causes it to be confused with the more widely known marine mammals called dolphins.
The name mahi-mahi means very strong in Hawaiian. "
1215,1215,,Malanga Coco,Xanthosoma,70,Step Right Up!,2/1/2011,,http://en.wikipedia.org/wiki/Xanthosoma,"Xanthosoma is a genus of flowering plants in the arum family, Araceae. The genus contains about 50 species that are native to tropical America. Several are grown for their starchy corms, an important food staple of tropical regions, known variously as malanga, otoy, otoe, cocoyam (or new cocoyam), tannia, tannier, yautía, macabo, macal, taioba, dasheen, quequisque, ʻape and (in Papua New Guinea) as Singapore taro (taro kongkong). Many other species (including especially X. "
1216,1216,,Malanga Coco,Xanthosoma,110,The Big Scoop,12/20/2011,,http://en.wikipedia.org/wiki/Xanthosoma,"Xanthosoma is a genus of flowering plants in the arum family, Araceae. The genus contains about 50 species that are native to tropical America. Several are grown for their starchy corms, an important food staple of tropical regions, known variously as malanga, otoy, otoe, cocoyam (or new cocoyam), tannia, tannier, yautía, macabo, macal, taioba, dasheen, quequisque, ʻape and (in Papua New Guinea) as Singapore taro (taro kongkong). Many other species (including especially X. "
1217,1217,,Malta,Malta,41,My Froggy Clementine,4/13/2010,,http://en.wikipedia.org/wiki/Malta,"Malta /ˈmɒltə/ (Maltese: Repubblika ta' Malta, pronounced [rɛˈpʊbb.lɪ.kɐ ˈtɐ ˈmɐl.tɐ]) is a southern European country in the Mediterranean Sea. It lies 80 km (50 mi) south of Sicily, 284 km (176 mi) east of Tunisia and 333 km (207 mi) north of Libya. The country covers just over 316 km2 (122 sq mi), making it one of the world's smallest and most densely populated countries. The capital of Malta is Valletta, which is also the smallest capital in the EU at 0.8 km2. Malta has two official languages: Maltese and English.
"
1218,1218,,Malta,Malta,224,Pizza Perfect,2/2/2014,,http://en.wikipedia.org/wiki/Malta,"Malta /ˈmɒltə/ (Maltese: Repubblika ta' Malta, pronounced [rɛˈpʊbb.lɪ.kɐ ˈtɐ ˈmɐl.tɐ]) is a southern European country in the Mediterranean Sea. It lies 80 km (50 mi) south of Sicily, 284 km (176 mi) east of Tunisia and 333 km (207 mi) north of Libya. The country covers just over 316 km2 (122 sq mi), making it one of the world's smallest and most densely populated countries. The capital of Malta is Valletta, which is also the smallest capital in the EU at 0.8 km2. Malta has two official languages: Maltese and English.
"
1219,1219,,Malted Chocolate Balls,Whoppers,63,Fright Bites,10/19/2010,"This was a Halloween-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. In the entrée round, Chef Samsom rolled her tortillas on a cutting board that was cross-contaminated. The judges did not taste her dish as a result, and Chef Samsom was eliminated.",http://en.wikipedia.org/wiki/Whoppers,"Whoppers are malted milk balls covered with a chocolate-flavored coating produced by The Hershey Company. The candy is a small, round ball about 3/4 of an inch in diameter. They are typically sold either in a small cardboard candy box, in a larger box that resembles a cardboard milk carton, the “Fun Size” variety which is a tube-shaped plastic package sealed at the sides, containing twelve Whoppers weighing 21 grams (0.75 oz), or the even smaller variety of a tube containing three Whoppers weighing 6.8 grams (0.23 oz).
"
1220,1220,Mammea americana,Mamey,,173,Redemption Intention,3/19/2013,This episode featured four past runners-up.,,
1221,1221,,Manchego Cheese,Manchego,24,"Chopped Champions Event, Round Two: Best of the Best",8/25/2009,,http://en.wikipedia.org/wiki/Manchego,"Manchego (officially Queso Manchego) is a cheese made in the La Mancha region of Spain from the milk of sheep of the Manchega breed. Official Manchego cheese is to be aged for between 60 days and two years.
Manchego has a firm and compact consistency and a buttery texture, and often contains small, unevenly-distributed air pockets. The colour of the cheese varies from white to ivory-yellow, and the inedible rind from yellow to brownish beige. "
1222,1222,,Mandarinquats,Kumquat,107,"Yakety Yak, Yak, Yak",11/29/2011,,http://en.wikipedia.org/wiki/Kumquat,"Kumquats or cumquats are a group of small fruit-bearing trees in the flowering plant family Rutaceae, either forming the genus Fortunella, or placed within Citrus sensu lato. The edible fruit closely resembles that of the orange (Citrus sinensis), but it is much smaller and ovular, being approximately the size and shape of a large olive. The English name ""kumquat"" derives from the Cantonese pronunciation gam1 gwat1 (given in Jyutping romanization).
They are slow-growing evergreen shrubs or short trees, from 2.5 to 4.5 meters (8 to 15 ft) tall, with dense branches, sometimes bearing small thorns. "
1223,1223,,Mango,Mango,29,Judge Knows Best,10/27/2009,,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1224,1224,,Mango,Mango,71,All-Stars Tournament: Round One - Competitors from The Next Food Network Star,3/6/2011,This was the first of a five-part series of episodes in which categorical groups of celebrity chefs competed for charity.,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1225,1225,,Mango Juice,Mango,174,Chopped All-Stars: Food Network vs. Cooking Channel,4/7/2013,,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1226,1226,,Mangoes,Mango,10,"String Cheese, Jicama, Gingersnaps",3/17/2009,,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1227,1227,,Mangoes,Mango,116,I'm Your Huckleberry,2/7/2012,"During the entrée round, the chefs were given a hammer to open the coconut. Chef Anderson works at Landmarc, which is owned by Chopped judge Marc Murphy.",http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1228,1228,,Mangoes,Mango,145,Grill Masters: Part Four,8/12/2012,,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1229,1229,,Mangoes,Mango,148,Drawing a Flank,8/21/2012,,http://en.wikipedia.org/wiki/Mango,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees, that are cultivated mostly for edible fruits. The majority of these species are found in nature as wild mangoes. They all belong in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. "
1230,1230,,Mangosteen,Purple mangosteen,22,Buckwheat Blunders and Twists of Fate,8/11/2009,"Chef Amitzur cut his finger in the appetizer round. The judges told the producer who then told Amitzur to bandage the wound and redo his dish. Amitzur also double-dipped in the entrée and dessert rounds, which the judges felt was a health hazard.",http://en.wikipedia.org/wiki/Purple_mangosteen,"""Mangosteen"" redirects here. This may also refer to the entire genus Garcinia.
"
1231,1231,,Maple Syrup,Maple syrup,30,A Nori Story,11/3/2009,,http://en.wikipedia.org/wiki/Maple_syrup,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species. In cold climates, these trees store starch in their trunks and roots before the winter; the starch is then converted to sugar that rises in the sap in the spring. Maple trees can be tapped by boring holes into their trunks and collecting the exuded sap. The sap is processed by heating to evaporate much of the water, leaving the concentrated syrup.
"
1232,1232,,Maple Syrup,Maple syrup,105,Give It Your All,11/15/2011,This was a Thanksgiving-themed episode. The chefs were directed to prepare holiday-themed dishes for each course.,http://en.wikipedia.org/wiki/Maple_syrup,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species. In cold climates, these trees store starch in their trunks and roots before the winter; the starch is then converted to sugar that rises in the sap in the spring. Maple trees can be tapped by boring holes into their trunks and collecting the exuded sap. The sap is processed by heating to evaporate much of the water, leaving the concentrated syrup.
"
1233,1233,,Maple Syrup,Maple syrup,212,Brunch Boxes,10/15/2013,Each basket contained ingredients commonly used to prepare brunch dishes.,http://en.wikipedia.org/wiki/Maple_syrup,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species. In cold climates, these trees store starch in their trunks and roots before the winter; the starch is then converted to sugar that rises in the sap in the spring. Maple trees can be tapped by boring holes into their trunks and collecting the exuded sap. The sap is processed by heating to evaporate much of the water, leaving the concentrated syrup.
"
